id,title,author,text,state,date_published,source,category,sentiment_score,word_count,char_count,has_images,has_videos,readability_score,num_shares,num_comments,political_bias,fact_check_rating,is_satirical,trust_score,source_reputation,clickbait_score,plagiarism_score,label
1,Breaking News 1,Jane Smith,This is the content of article 1. It contains detailed analysis and reports.,Tennessee,30-11-2021,The Onion,Entertainment,-0.22,1302,5070,0,0,66.18,47305,450,Center,FALSE,1,76,6,0.84,53.35,Fake
2,Breaking News 2,Emily Davis,This is the content of article 2. It contains detailed analysis and reports.,Wisconsin,02-09-2021,The Guardian,Technology,0.92,322,2722,1,0,41.1,39804,530,Left,Mixed,1,1,5,0.85,28.28,Fake
3,Breaking News 3,John Doe,This is the content of article 3. It contains detailed analysis and reports.,Missouri,13-04-2021,New York Times,Sports,0.25,228,5904,0,1,30.04,45860,763,Center,Mixed,0,57,1,0.72,0.38,Fake
4,Breaking News 4,Alex Johnson,This is the content of article 4. It contains detailed analysis and reports.,North Carolina,08-03-2020,CNN,Sports,0.94,155,825,1,0,75.16,34222,945,Center,TRUE,1,18,10,0.92,32.2,Fake
5,Breaking News 5,Emily Davis,This is the content of article 5. It contains detailed analysis and reports.,California,23-03-2022,Daily Mail,Technology,-0.01,962,1087,1,0,43.9,35934,433,Right,Mixed,0,95,6,0.66,77.7,Real
6,Breaking News 6,John Doe,This is the content of article 6. It contains detailed analysis and reports.,North Carolina,23-03-2022,New York Times,Sports,0.83,920,4022,0,0,42.88,13148,28,Right,FALSE,0,8,1,0.01,72.1,Fake
7,Breaking News 7,Emily Davis,This is the content of article 7. It contains detailed analysis and reports.,Maryland,06-10-2022,Fox News,Business,0.81,651,5652,0,1,62.39,13627,665,Center,Mixed,0,1,10,0.47,97.59,Fake
8,Breaking News 8,John Doe,This is the content of article 8. It contains detailed analysis and reports.,Maryland,25-09-2022,The Onion,Politics,-0.96,717,737,1,0,75.07,6035,323,Center,TRUE,1,79,5,0.58,75.33,Real
9,Breaking News 9,John Doe,This is the content of article 9. It contains detailed analysis and reports.,Tennessee,30-08-2021,HuffPost,Politics,-0.64,1093,4362,0,0,73.93,49000,881,Center,TRUE,1,96,7,0.08,39.37,Fake
10,Breaking News 10,Jane Smith,This is the content of article 10. It contains detailed analysis and reports.,Maryland,18-03-2022,New York Times,Business,-0.5,1421,830,0,1,51.94,30508,782,Center,FALSE,1,88,3,0.68,99.12,Real
11,Breaking News 11,John Doe,This is the content of article 11. It contains detailed analysis and reports.,Texas,02-01-2020,The Guardian,Business,-0.43,247,7515,0,1,74.96,38623,260,Right,Mixed,1,15,4,0.91,80.56,Fake
12,Breaking News 12,John Doe,This is the content of article 12. It contains detailed analysis and reports.,Tennessee,20-02-2021,CNN,Entertainment,0.85,819,4229,1,0,34.22,16170,101,Right,FALSE,0,49,1,0.55,74.74,Real
13,Breaking News 13,Chris Lee,This is the content of article 13. It contains detailed analysis and reports.,Virginia,07-08-2020,Snopes,Technology,0.05,651,1248,0,0,75.07,20653,223,Center,TRUE,0,51,1,0.75,33.31,Real
14,Breaking News 14,Chris Lee,This is the content of article 14. It contains detailed analysis and reports.,Virginia,21-11-2021,The Guardian,Entertainment,0.49,968,4579,1,0,64.78,28822,146,Left,TRUE,1,63,1,0.55,49.28,Fake
15,Breaking News 15,Alex Johnson,This is the content of article 15. It contains detailed analysis and reports.,Washington,07-02-2020,Washington Post,Politics,0.64,691,2884,1,1,50.23,723,457,Center,TRUE,1,33,3,0.04,15.46,Fake
16,Breaking News 16,Emily Davis,This is the content of article 16. It contains detailed analysis and reports.,Washington,18-05-2021,Snopes,Technology,-0.84,942,4992,0,0,66.71,22594,40,Center,TRUE,0,53,3,0.8,50.73,Fake
17,Breaking News 17,Emily Davis,This is the content of article 17. It contains detailed analysis and reports.,Tennessee,29-07-2020,Daily Mail,Entertainment,-0.35,1002,3769,0,1,65.12,36827,207,Left,Mixed,0,1,6,0.9,59.14,Real
18,Breaking News 18,Alex Johnson,This is the content of article 18. It contains detailed analysis and reports.,Texas,28-06-2020,BBC,Business,0.24,1465,7819,1,1,59.12,21701,259,Left,Mixed,0,72,7,0.29,87.5,Real
19,Breaking News 19,John Doe,This is the content of article 19. It contains detailed analysis and reports.,Indiana,23-01-2021,Breitbart,Entertainment,-0.03,359,6359,1,0,39.3,31184,749,Center,TRUE,1,71,1,0.18,12.34,Fake
20,Breaking News 20,Chris Lee,This is the content of article 20. It contains detailed analysis and reports.,Florida,10-02-2020,InfoWars,Business,0.49,331,7365,1,1,40.36,35319,368,Center,TRUE,1,100,4,0.36,15.56,Real
21,Breaking News 21,Emily Davis,This is the content of article 21. It contains detailed analysis and reports.,Ohio,14-01-2024,CNN,Entertainment,-0.25,323,2058,0,1,61.06,17496,1,Left,Mixed,0,23,1,0.97,89.94,Fake
22,Breaking News 22,Chris Lee,This is the content of article 22. It contains detailed analysis and reports.,Florida,30-05-2020,Breitbart,Health,0.21,240,2522,0,0,55.25,42975,695,Center,Mixed,1,11,8,0.43,75.64,Fake
23,Breaking News 23,Alex Johnson,This is the content of article 23. It contains detailed analysis and reports.,New York,27-03-2021,The Guardian,Health,0.06,600,4099,0,0,45.86,24413,73,Left,TRUE,0,94,10,0.74,17.56,Real
24,Breaking News 24,Emily Davis,This is the content of article 24. It contains detailed analysis and reports.,Michigan,22-08-2021,Fox News,Politics,-0.31,1273,2151,1,1,59.48,5790,871,Center,Mixed,0,57,10,0.76,60.51,Real
25,Breaking News 25,Alex Johnson,This is the content of article 25. It contains detailed analysis and reports.,Arizona,23-02-2023,The Onion,Sports,-0.78,347,5824,0,0,40.86,47179,12,Center,Mixed,1,0,2,0.17,13.13,Real
26,Breaking News 26,Jane Smith,This is the content of article 26. It contains detailed analysis and reports.,Michigan,25-06-2020,Fox News,Sports,-0.11,143,6434,1,0,74.97,44909,599,Right,Mixed,1,57,1,0.99,83.17,Real
27,Breaking News 27,John Doe,This is the content of article 27. It contains detailed analysis and reports.,Massachusetts,29-11-2023,Reuters,Business,0.05,235,4905,1,0,71.43,25490,614,Left,TRUE,0,60,4,0.87,11.64,Fake
28,Breaking News 28,Emily Davis,This is the content of article 28. It contains detailed analysis and reports.,Georgia,03-12-2021,Washington Post,Health,-0.3,1442,1599,1,1,68.39,6486,121,Center,TRUE,0,78,7,0.11,94.9,Fake
29,Breaking News 29,Chris Lee,This is the content of article 29. It contains detailed analysis and reports.,Tennessee,20-06-2023,The Onion,Entertainment,0.59,1368,3990,1,1,78.77,41836,218,Center,TRUE,1,93,10,0.69,73.25,Real
30,Breaking News 30,Alex Johnson,This is the content of article 30. It contains detailed analysis and reports.,Georgia,29-01-2024,New York Times,Politics,0.95,713,3219,0,0,48.16,22300,316,Center,TRUE,0,80,3,0.99,46.78,Real
31,Breaking News 31,Jane Smith,This is the content of article 31. It contains detailed analysis and reports.,Maryland,28-06-2021,Washington Post,Health,-0.04,1135,646,0,0,36.81,3532,104,Center,FALSE,0,26,1,0.46,65.35,Fake
32,Breaking News 32,Emily Davis,This is the content of article 32. It contains detailed analysis and reports.,Georgia,11-04-2023,New York Times,Technology,0.84,997,5153,0,1,67.48,42739,4,Left,FALSE,1,30,3,0.09,42.58,Fake
33,Breaking News 33,Alex Johnson,This is the content of article 33. It contains detailed analysis and reports.,North Carolina,28-11-2020,Breitbart,Health,-0.82,1230,1608,1,0,37.15,12517,117,Right,TRUE,0,48,2,0.94,16.31,Fake
34,Breaking News 34,Chris Lee,This is the content of article 34. It contains detailed analysis and reports.,Michigan,08-09-2021,Reuters,Technology,-0.02,396,5890,0,0,35.59,7864,799,Left,Mixed,0,30,10,0.21,66.45,Fake
35,Breaking News 35,Chris Lee,This is the content of article 35. It contains detailed analysis and reports.,Virginia,03-06-2021,Washington Post,Technology,-0.81,389,6522,0,1,46.94,8540,529,Right,TRUE,0,51,8,0.88,14.93,Fake
36,Breaking News 36,Jane Smith,This is the content of article 36. It contains detailed analysis and reports.,Texas,25-05-2022,The Onion,Sports,0.65,1109,1464,0,0,57.74,44906,342,Left,Mixed,1,39,9,0.29,85.03,Fake
37,Breaking News 37,Alex Johnson,This is the content of article 37. It contains detailed analysis and reports.,Michigan,22-07-2023,CNN,Sports,0.38,210,1222,0,0,57.33,33778,185,Center,TRUE,1,61,5,0.58,90.3,Real
38,Breaking News 38,Alex Johnson,This is the content of article 38. It contains detailed analysis and reports.,Washington,22-01-2021,CNN,Technology,0.96,1409,1849,1,1,69.27,3019,1000,Center,Mixed,1,26,4,0.23,59.42,Real
39,Breaking News 39,Alex Johnson,This is the content of article 39. It contains detailed analysis and reports.,Florida,25-01-2020,BBC,Politics,-0.98,1206,2000,1,1,41.56,39661,884,Center,FALSE,1,14,10,0.61,91.17,Real
40,Breaking News 40,Jane Smith,This is the content of article 40. It contains detailed analysis and reports.,Virginia,17-07-2021,Fox News,Technology,0.05,976,6619,0,1,71.28,18381,739,Right,Mixed,1,42,10,0,3.87,Fake
41,Breaking News 41,John Doe,This is the content of article 41. It contains detailed analysis and reports.,Indiana,07-03-2023,New York Times,Business,-0.48,319,3006,0,0,55.77,20603,100,Right,TRUE,0,3,3,0.2,99.56,Fake
42,Breaking News 42,Jane Smith,This is the content of article 42. It contains detailed analysis and reports.,North Carolina,06-12-2021,The Guardian,Health,-0.86,620,4326,1,0,33.47,39158,785,Right,Mixed,0,100,2,0.44,86.5,Fake
43,Breaking News 43,Alex Johnson,This is the content of article 43. It contains detailed analysis and reports.,Washington,29-02-2024,HuffPost,Business,0.53,141,5788,0,1,51.59,9006,59,Left,FALSE,1,6,4,0.72,37.78,Real
44,Breaking News 44,Chris Lee,This is the content of article 44. It contains detailed analysis and reports.,North Carolina,01-03-2024,CNN,Health,0.67,355,622,1,0,67.53,34585,89,Right,Mixed,1,79,10,0.64,19.71,Real
45,Breaking News 45,Alex Johnson,This is the content of article 45. It contains detailed analysis and reports.,Washington,28-11-2020,The Guardian,Health,-0.18,1284,5462,1,0,47.83,42765,120,Right,Mixed,1,74,1,0.25,88.04,Fake
